code,type,name,elevation_ft,continent,iso_country,municipality
5A8,medium_airport,Aleknagik / New Airport,66,NA,US,Aleknagik
AF-0005,medium_airport,Khost International Airport (U.C.),4204,AS,AF,Khost
AGGH,medium_airport,Honiara International Airport,28,OC,SB,Honiara
AGGM,medium_airport,Munda Airport,10,OC,SB,
AHJ,medium_airport,Hongyuan Airport,11600,AS,CN,Aba
ANYN,medium_airport,Nauru International Airport,22,OC,NR,Yaren District
AXF,medium_airport,Alxa Left Banner Bayanhot Airport,4560,AS,CN,Bayanhot
AYBK,medium_airport,Buka Airport,11,OC,PG,Buka Island
AYCH,medium_airport,Chimbu Airport,4974,OC,PG,Kundiawa
AYDU,medium_airport,Daru Airport,20,OC,PG,Daru
AYGA,medium_airport,Goroka Airport,5282,OC,PG,Goronka
AYGN,medium_airport,Gurney Airport,88,OC,PG,Gurney
AYGR,medium_airport,Girua Airport,311,OC,PG,Popondetta
AYHK,medium_airport,Kimbe Airport,66,OC,PG,Hoskins
AYKM,medium_airport,Kerema Airport,10,OC,PG,Kerema
AYKV,medium_airport,Kavieng Airport,7,OC,PG,Kavieng
AYMD,medium_airport,Madang Airport,20,OC,PG,Madang
AYMH,medium_airport,Mount Hagen Kagamuga Airport,5388,OC,PG,Mount Hagen
AYMN,medium_airport,Mendi Airport,5680,OC,PG,Mendi
AYMO,medium_airport,Momote Airport,12,OC,PG,Manus Island
AYNZ,medium_airport,Nadzab Airport,239,OC,PG,Lae
AYPY,large_airport,Port Moresby Jacksons International Airport,146,OC,PG,Port Moresby
AYTK,medium_airport,Tokua Airport,32,OC,PG,Tokua
AYVN,medium_airport,Vanimo Airport,10,OC,PG,Vanimo
AYWD,medium_airport,Wapenamanda Airport,5889,OC,PG,
AYWK,medium_airport,Wewak International Airport,19,OC,PG,Wewak
AZ-0001,medium_airport,Zabrat Airport,36,AS,AZ,Baku
AZ-0013,medium_airport,Sital Chay Airport,,AS,AZ,
AZ-0021,medium_airport,Kyzylagadzh Air Base,,AS,AZ,
BCW,medium_airport,Benguera Island Airport,,AF,MZ,Benguera Island
BG-JAM,medium_airport,Bezmer Air Base,509,EU,BG,Yambol
BGAA,medium_airport,Aasiaat Airport,74,NA,GL,Aasiaat
BGBW,medium_airport,Narsarsuaq Airport,112,NA,GL,Narsarsuaq
BGGH,medium_airport,Godthaab / Nuuk Airport,283,NA,GL,Nuuk
BGSF,medium_airport,Kangerlussuaq Airport,165,NA,GL,Kangerlussuaq
BGSS,medium_airport,Sisimiut Airport,33,NA,GL,Sisimiut
BGTL,medium_airport,Thule Air Base,251,NA,GL,Thule
BIAR,medium_airport,Akureyri Airport,6,EU,IS,Akureyri
BIEG,medium_airport,EgilsstaÃ°ir Airport,76,EU,IS,EgilsstaÃ°ir
BIHN,medium_airport,HornafjÃ¶rÃ°ur Airport,24,EU,IS,HÃ¶fn
BIHU,medium_airport,HÃºsavÃ­k Airport,48,EU,IS,HÃºsavÃ­k
BIIS,medium_airport,ÃsafjÃ¶rÃ°ur Airport,8,EU,IS,ÃsafjÃ¶rÃ°ur
BIKF,large_airport,Keflavik International Airport,171,EU,IS,ReykjavÃ­k
BIRK,medium_airport,Reykjavik Airport,48,EU,IS,Reykjavik
BISI,medium_airport,SiglufjÃ¶rÃ°ur Airport,10,EU,IS,SiglufjÃ¶rÃ°ur
BIVM,medium_airport,Vestmannaeyjar Airport,326,EU,IS,Vestmannaeyjar
BKPR,large_airport,PriÅ¡tina International Airport,1789,EU,XK,Prishtina
BR-0569,medium_airport,Glauber de Andrade Rocha Airport,2940,SA,BR,VitÃ³ria da Conquista
BY-0001,medium_airport,Balbasovo Air Base,620,EU,BY,Orsha
BY-0003,medium_airport,Bobrovichi Air Base,440,EU,BY,Kalinovichi
BY-0006,medium_airport,Osovtsy Air Base,,EU,BY,Byaroza
BZ-BGK,medium_airport,Big Creek Airport,3,NA,BZ,Big Creek
BZ-CUK,medium_airport,Caye Caulker Airport,1,NA,BZ,Caye Caulker
BZ-CYC,medium_airport,Caye Chapel Airport,3,NA,BZ,Caye Chapel
BZ-CZH,medium_airport,Corozal Municipal Airport,40,NA,BZ,Corozal
BZ-DGA,medium_airport,Dangriga Airport,508,NA,BZ,Dangriga
BZ-PLJ,medium_airport,Placencia Airport,3,NA,BZ,Placencia
BZ-PND,medium_airport,Punta Gorda Airport,7,NA,BZ,Punta Gorda
BZ-SJX,medium_airport,Sartaneja Airport,3,NA,BZ,Sartaneja
BZ-SPR,medium_airport,San Pedro Airport,4,NA,BZ,San Pedro
BZ-TZA,medium_airport,Belize City Municipal Airport,16,NA,BZ,Belize City
BZB,medium_airport,Bazaruto Island Airport,,AF,MZ,Bazaruto Island
CA-0673,medium_airport,Cycd,,NA,CA,Nanaimo
CN-0002,medium_airport,Nanjing Air Base,,AS,CN,Nanjing
CN-0003,medium_airport,Laohutun Air Base,,AS,CN,
CN-0004,medium_airport,Pulandian Air Base,,AS,CN,
CN-0006,medium_airport,Beijing Shahezhen Air Base,,AS,CN,Beijing
CN-0007,medium_airport,Beijing Tongxian Air Base,,AS,CN,Beijing
CN-0010,medium_airport,Yinchuan Hedong International Airport,,AS,CN,Yinchuan
CN-0011,medium_airport,Duplicate --Yantai Penglai International Airport,154,AS,CN,Yantai
CN-0012,medium_airport,Yuanmou Air Base,3810,AS,CN,Yuanmou
CN-0013,medium_airport,Fengning Air Base,,AS,CN,
CN-0014,medium_airport,Hohhot Air Base,,AS,CN,
CN-0015,medium_airport,Huairen Air Base,3260,AS,CN,Datong
CN-0016,medium_airport,Liangxiangzhen Air Base,,AS,CN,Beijing
CN-0018,medium_airport,Tangguantun Air Base,,AS,CN,
CN-0020,medium_airport,Wenshui Air Base,,AS,CN,
CN-0021,medium_airport,Yangcun Air Base,,AS,CN,
CN-0022,medium_airport,Yongning Air Base,,AS,CN,Yongning
CN-0024,medium_airport,Zhangjiakou Ningyuan Airport,2347,AS,CN,Zhangjiakou
CN-0025,medium_airport,Zunhua Air Base,,AS,CN,
CN-0026,medium_airport,Chengdu Air Base,,AS,CN,
CN-0027,medium_airport,Baoshan Yunduan Airport,5453,AS,CN,
CN-0030,medium_airport,Chongqing Air Base,,AS,CN,Chongqing
CN-0040,medium_airport,Lintsang Airfield,6230,AS,CN,Lincang
CN-0041,medium_airport,Luliang Air Base,,AS,CN,
CN-0043,medium_airport,Mengzi Air Base,,AS,CN,
CN-0045,medium_airport,Qionglai Air Base,,AS,CN,
CN-0046,medium_airport,Shigatse Air Base,3782,AS,CN,XigazÃª
CN-0048,medium_airport,Wenshan Air Base,,AS,CN,
CN-0049,medium_airport,Xiangyun Midu Air Base,,AS,CN,
CN-0050,medium_airport,Bao'anying Airport,1620,AS,CN,Panzhihua
CN-0053,medium_airport,Baihe Ning Ming Air Base,,AS,CN,
CN-0055,medium_airport,Changsha Datuopu Airport/AFB,170,AS,CN,Changsha
CN-0056,medium_airport,Dangyang Air Base,,AS,CN,
CN-0057,medium_airport,Foluo Northeast Air Base,,AS,CN,
CN-0061,medium_airport,Foshan Shadi Airport,6,AS,CN,Foshan
CN-0063,medium_airport,Guiping Mengshu Air Base,,AS,CN,
CN-0067,medium_airport,Xinyang Minggang Airport,312,AS,CN,Xinyang
CN-0068,medium_airport,Huizhou Airport,50,AS,CN,Huizhou
CN-0069,medium_airport,Jialaishi Air Base,,AS,CN,
CN-0071,medium_airport,Leiyang Air Base,,AS,CN,
CN-0072,medium_airport,Lingshui Air Base,,AS,CN,
CN-0074,medium_airport,Shangqiu Air Base,,AS,CN,Shangqiu
CN-0076,medium_airport,Zhengzhou Air Base,,AS,CN,
CN-0079,medium_airport,Shaoguan Guitou Airport,280,AS,CN,Shaoguan
CN-0080,medium_airport,Suixi Air Base,,AS,CN,
CN-0081,medium_airport,Jinggangshan Airport,281,AS,CN,Ji'an
CN-0082,medium_airport,Baise Youjiang Airport,490,AS,CN,Baise
CN-0083,large_airport,Guodu air base,,AS,CN,
CN-0085,medium_airport,Xiaogan Air Base,,AS,CN,
CN-0089,medium_airport,Baitabu Air Base,,AS,CN,
CN-0090,medium_airport,Cangxian Air Base,,AS,CN,
CN-0091,medium_airport,Dongying Shengli Airport,15,AS,CN,Dongying
CN-0092,medium_airport,Jiaozhou/Jiaocheng Air Base,,AS,CN,
CN-0093,medium_airport,Jinan Air Base,,AS,CN,
CN-0094,medium_airport,Jiugucheng Air Base,,AS,CN,
CN-0095,medium_airport,Kaifeng Air Base,,AS,CN,Kaifeng
CN-0096,medium_airport,Laiyang Air Base,,AS,CN,
CN-0097,medium_airport,Luyang Air Base,,AS,CN,
CN-0100,medium_airport,Qingdao-Cangkou Air Base,,AS,CN,
CN-0103,medium_airport,Wendeng Air Base,,AS,CN,
CN-0104,medium_airport,Xingcheng Air Base,30,AS,CN,
CN-0105,medium_airport,Xuzhou Daguozhang Air Base,,AS,CN,
CN-0106,medium_airport,Xuzhou Jiulishan Air Base,,AS,CN,
CN-0109,medium_airport,Yidu Air Base,,AS,CN,
CN-0111,medium_airport,Zhucheng Air Base,,AS,CN,
CN-0113,medium_airport,Altay Air Base,2460,AS,CN,Altay
CN-0114,medium_airport,Baoji Air Base,,AS,CN,
CN-0117,medium_airport,Gonghe Air Base,,AS,CN,
CN-0123,medium_airport,Lanzhou Air Base,,AS,CN,Lanzhou
CN-0125,medium_airport,Ljtao Air Base,,AS,CN,
CN-0127,medium_airport,Qingshui Air Base,,AS,CN,
CN-0130,medium_airport,Tianshui Maijishan Airport,3590,AS,CN,Tianshui
CN-0132,medium_airport,Urumqi South Air Base,,AS,CN,
CN-0133,medium_airport,Uxxaktal Air Base,,AS,CN,
CN-0134,medium_airport,Wugong Air Base,,AS,CN,
CN-0135,medium_airport,Wulumuqi Air Base,2425,AS,CN,
CN-0136,medium_airport,Wuwei Air Base,,AS,CN,
CN-0137,medium_airport,Xian Air Base,,AS,CN,
CN-0138,medium_airport,Xincheng Air Base,,AS,CN,
CN-0139,medium_airport,Yaerbashi Test Range,,AS,CN,
CN-0140,medium_airport,Yanliang Air Base,,AS,CN,
CN-0143,medium_airport,Zhangye Ganzhou Airport,5280,AS,CN,Zhangye
CN-0145,medium_airport,Changzing Air Base,,AS,CN,
CN-0146,medium_airport,Daishan Air Base,,AS,CN,
CN-0147,medium_airport,Feidong Air Base,,AS,CN,
CN-0149,medium_airport,Fuzhou Air Base,,AS,CN,Fuzhou
CN-0152,medium_airport,Huian Air Base,,AS,CN,
CN-0153,medium_airport,Jianqiao/Hangzhou Airfield,,AS,CN,Hangzhou
CN-0154,medium_airport,Jiaxing Air Base,,AS,CN,
CN-0158,medium_airport,Longtian/Lung-T'ien Air Base,,AS,CN,
CN-0159,medium_airport,Longyou Air Base,,AS,CN,
CN-0161,medium_airport,Mahuiling Air Base,,AS,CN,
CN-0162,medium_airport,Nanchang New Airfield,,AS,CN,Nanchang
CN-0163,medium_airport,Nanchang Xiangtang Air Base,,AS,CN,Nanchang
CN-0165,medium_airport,Ningbo Zhangqiao Air Base,,AS,CN,
CN-0169,medium_airport,Shanghai Dachang Air Base,,AS,CN,Shanghai
CN-0182,medium_airport,Zhangshu Air Base,,AS,CN,
CN-0185,medium_airport,Changchun Air Base,,AS,CN,
CN-0187,medium_airport,Chifeng Air Base,,AS,CN,
CN-0189,medium_airport,Dandong Airport,30,AS,CN,Dandong
CN-0190,medium_airport,Dingxin/Shuangchengzi Air Base,,AS,CN,
CN-0191,medium_airport,Fuxin Air Base,,AS,CN,
CN-0192,medium_airport,Gongzhuling Air Base,,AS,CN,
CN-0193,medium_airport,Harbin Air Base,,AS,CN,
CN-0197,medium_airport,Kaiyuan Air Base,,AS,CN,
CN-0198,medium_airport,Lalin Air Base,,AS,CN,
CN-0201,medium_airport,Pingquan Air Base,,AS,CN,
CN-0204,medium_airport,Shenyang Beiling Air Base,,AS,CN,Shenyang
CN-0206,medium_airport,Shenyang Yu Hung Tun Air Base,,AS,CN,Shenyang
CN-0208,medium_airport,Siping Air Base,,AS,CN,
CN-0209,medium_airport,Suizhong Air Base,,AS,CN,
CN-0210,medium_airport,Tuchengzi Air Base,,AS,CN,
CN-JNZ,medium_airport,Sanshilipu Air Base,,AS,CN,Dalian
CNC3,medium_airport,Brampton-Caledon Airport,935,NA,CA,
CY-0002,medium_airport,Lefkoniko Airport,146,AS,CY,GeÃ§itkale
CYAC,medium_airport,Cat Lake Airport,1344,NA,CA,Cat Lake
CYAG,medium_airport,Fort Frances Municipal Airport,1125,NA,CA,Fort Frances
CYAH,medium_airport,La Grande-4 Airport,1005,NA,CA,La Grande-4
CYAL,medium_airport,Alert Bay Airport,240,NA,CA,Alert Bay
CYAM,medium_airport,Sault Ste Marie Airport,630,NA,CA,Sault Ste Marie
CYAQ,medium_airport,Kasabonika Airport,672,NA,CA,Kasabonika
CYAS,medium_airport,Kangirsuk Airport,403,NA,CA,Kangirsuk
CYAT,medium_airport,Attawapiskat Airport,31,NA,CA,Attawapiskat
CYAU,medium_airport,Liverpool South Shore Regional Airport,321,NA,CA,Liverpool
